,酒田,酒田,酒田,酒田,酒田,酒田,酒田,酒田,酒田,酒田,酒田,酒田,酒田,酒田,酒田,酒田,酒田,酒田,酒田,酒田,酒田,酒田,酒田,酒田,酒田,飛島,飛島,飛島,飛島,飛島,飛島,飛島,飛島,飛島,飛島,飛島,飛島,飛島,飛島,飛島,飛島,飛島,飛島,飛島,飛島,飛島
年月,平均気温(℃),平均気温(℃),平均気温(℃),日最高気温の平均(℃),日最高気温の平均(℃),日最高気温の平均(℃),日最低気温の平均(℃),日最低気温の平均(℃),日最低気温の平均(℃),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),日降水量の最大(mm),日降水量の最大(mm),日降水量の最大(mm),日降水量の最大(mm),日照時間(時間),日照時間(時間),日照時間(時間),日照時間(時間),最深積雪(cm),最深積雪(cm),最深積雪(cm),最深積雪(cm),平均気温(℃),平均気温(℃),平均気温(℃),日最高気温の平均(℃),日最高気温の平均(℃),日最高気温の平均(℃),日最低気温の平均(℃),日最低気温の平均(℃),日最低気温の平均(℃),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),日降水量の最大(mm),日降水量の最大(mm),日降水量の最大(mm),日照時間(時間),日照時間(時間),日照時間(時間),最深積雪(cm),最深積雪(cm),最深積雪(cm)
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,品質情報,均質番号,,品質情報,均質番号,,品質情報,均質番号,,現象なし情報,品質情報,均質番号,,現象なし情報,品質情報,均質番号,,現象なし情報,品質情報,均質番号,,現象なし情報,品質情報,均質番号,,品質情報,均質番号,,品質情報,均質番号,,品質情報,均質番号,,品質情報,均質番号,,品質情報,均質番号,,品質情報,均質番号,,品質情報,均質番号
2013/10,17.1,8,1,20.9,8,1,13.6,8,1,228.0,0,8,1,55.0,0,8,1,116.7,0,8,2,0,1,8,1,16.7,8,1,19.8,8,3,14.1,8,3,189.0,8,1,41.5,8,1,101.5,8,3,,0,1
2013/11,9.1,8,1,13.1,8,1,5.4,8,1,415.0,0,8,1,58.0,0,8,1,81.1,0,5,2,0,1,8,1,9.9,8,1,13.1,8,3,7.0,8,3,224.5,8,1,43.0,8,1,54.3,8,3,,0,1
2013/12,4.9,8,1,7.6,8,1,2.0,8,1,271.0,0,8,1,47.0,0,8,1,31.6,0,5,2,9,0,8,1,5.3,8,1,7.8,8,3,2.9,8,3,223.0,8,1,36.5,8,1,33.1,8,3,,0,1
2014/1,1.8,8,1,4.8,8,1,-1.1,8,1,185.0,0,8,1,28.5,0,8,1,38.0,0,8,2,12,0,8,1,2.1,8,1,5.0,8,3,-0.6,8,3,106.5,8,1,12.0,8,1,31.5,8,3,,0,1
2014/2,1.5,8,1,3.9,8,1,-1.3,8,1,79.0,0,8,1,11.5,0,8,1,49.0,0,8,2,24,0,8,1,1.4,8,1,4.1,8,3,-0.8,8,3,59.5,8,1,10.5,8,1,38.8,8,3,,0,1
2014/3,5.2,8,1,8.4,8,1,1.9,8,1,149.0,0,8,1,29.0,0,8,1,102.5,0,5,2,4,0,8,1,4.7,8,1,7.9,8,3,2.0,8,3,169.0,8,1,34.5,8,1,104.0,8,3,,0,1
2014/4,10.1,8,1,14.9,8,1,5.0,8,1,34.0,0,8,1,20.5,0,8,1,224.3,0,8,2,0,1,8,1,9.5,8,1,14.0,8,3,6.0,8,3,23.5,8,1,14.0,8,1,219.0,8,3,,0,1
2014/5,16.1,8,1,20.8,8,1,12.0,8,1,106.0,0,8,1,18.5,0,8,1,202.4,0,8,2,0,1,8,1,14.2,8,1,18.3,8,3,11.4,8,3,85.0,8,1,20.0,8,1,177.0,8,3,,0,1
2014/6,21.8,8,1,26.1,8,1,18.4,8,1,84.5,0,8,1,35.5,0,8,1,221.4,0,8,2,0,1,8,1,19.6,8,1,24.0,8,3,16.6,8,3,62.0,8,1,19.5,8,1,186.9,8,3,,0,1
2014/7,24.4,8,1,28.4,8,1,21.1,8,1,95.0,0,8,1,32.0,0,8,1,202.2,0,8,2,0,1,8,1,23.1,8,1,27.2,8,3,20.3,8,3,177.5,8,1,58.5,8,1,194.9,8,3,,0,1
2014/8,25.1,8,1,29.0,8,1,22.2,8,1,197.0,0,8,1,50.0,0,8,1,115.8,0,8,2,0,1,8,1,24.0,8,1,27.5,8,3,21.8,8,3,154.5,8,1,47.5,8,1,106.3,5,3,,0,1
2014/9,20.6,8,1,25.2,8,1,16.7,8,1,161.0,0,8,1,57.5,0,8,1,217.9,0,8,2,0,1,8,1,20.0,8,1,24.1,8,3,17.1,8,3,131.0,8,1,43.5,8,1,187.0,8,3,,0,1
2014/10,14.8,8,1,19.4,8,1,10.5,8,1,238.5,0,8,1,44.5,0,8,1,169.4,0,8,2,0,1,8,1,14.9,5,1,18.2,5,3,11.8,5,3,213.5,5,1,51.5,5,1,115.9,5,3,,0,1
2014/11,10.0,8,1,14.2,8,1,5.9,8,1,153.5,0,8,1,45.5,0,8,1,98.1,0,8,2,0,1,8,1,10.5,8,1,13.5,8,3,7.9,8,3,136.5,8,1,34.5,8,1,69.5,8,3,,0,1
2014/12,2.7,8,1,5.6,8,1,-0.1,8,1,288.0,0,8,1,31.5,0,8,1,15.7,0,8,2,18,0,8,1,3.2,8,1,5.7,8,3,0.7,8,3,142.0,8,1,18.5,8,1,12.4,8,3,,0,1
2015/1,2.2,8,1,4.6,8,1,-0.4,8,1,151.0,0,8,1,45.5,0,8,1,29.7,0,8,2,10,0,8,1,2.5,8,1,4.8,8,3,0.2,8,3,66.5,8,1,14.0,8,1,28.0,8,3,,0,1
2015/2,3.1,8,1,6.0,8,1,0.2,8,1,81.5,0,8,1,13.5,0,8,1,67.7,0,8,2,6,0,8,1,3.1,8,1,6.2,8,3,0.7,8,3,67.0,8,1,9.5,8,1,72.2,8,3,,0,1
2015/3,6.4,8,1,10.3,8,1,2.5,8,1,101.0,0,8,1,24.5,0,8,1,134.6,0,8,2,3,0,8,1,6.2,8,1,9.6,8,3,3.3,8,3,75.0,8,1,16.0,8,1,134.4,8,3,,0,1
2015/4,11.4,8,1,16.2,8,1,6.6,8,1,138.5,0,8,1,29.0,0,8,1,184.2,0,8,2,0,1,8,1,10.3,8,1,14.3,8,3,7.3,8,3,105.0,8,1,39.0,8,1,175.9,8,3,,0,1
2015/5,17.5,8,1,22.7,8,1,12.6,8,1,58.5,0,8,1,24.0,0,8,1,250.5,0,8,2,0,1,8,1,15.7,8,1,20.6,8,3,11.9,8,3,33.0,8,1,15.0,8,1,242.8,8,3,,0,1
2015/6,20.6,8,1,25.1,8,1,16.7,8,1,79.0,0,8,1,30.5,0,8,1,215.8,0,8,2,0,1,8,1,18.8,8,1,23.2,8,3,15.6,8,3,64.0,8,1,30.5,8,1,192.6,8,3,,0,1
2015/7,24.4,8,1,28.5,8,1,21.0,8,1,80.5,0,8,1,39.0,0,8,1,202.6,0,8,2,0,1,8,1,22.6,8,1,26.9,8,3,20.0,8,3,64.5,8,1,34.5,8,1,185.1,8,3,,0,1
2015/8,25.0,8,1,29.1,8,1,21.7,8,1,135.5,0,8,1,52.5,0,8,1,186.3,0,8,2,0,1,8,1,24.2,8,1,28.3,8,3,21.6,8,3,98.5,8,1,29.0,8,1,177.0,8,3,,0,1
2015/9,20.5,8,1,24.6,8,1,16.8,8,1,186.5,0,8,1,29.5,0,8,1,132.1,0,8,2,0,1,8,1,19.8,8,1,23.6,8,3,17.0,8,3,115.0,8,1,19.0,8,1,123.6,8,3,,0,1
2015/10,14.5,8,1,19.0,8,1,9.9,8,1,182.0,0,8,1,26.5,0,8,1,173.8,0,8,2,0,1,8,1,14.3,8,1,18.0,8,3,11.3,8,3,118.0,5,1,43.5,5,1,139.2,5,3,,0,1
2015/11,10.7,8,1,14.3,8,1,7.2,8,1,204.0,0,8,1,44.5,0,8,1,84.0,0,8,2,0,1,8,1,10.9,8,1,13.8,8,3,8.4,8,3,160.0,8,1,37.5,8,1,57.8,8,3,,0,1
2015/12,5.7,8,1,8.8,8,1,2.5,8,1,200.5,0,8,1,41.0,0,8,1,58.1,0,8,2,10,0,8,1,6.1,8,1,8.5,8,3,3.6,8,3,159.5,8,1,37.0,8,1,45.8,8,3,,0,1
2016/1,2.3,8,1,4.6,8,1,0.2,8,1,212.0,0,8,1,23.5,0,8,1,15.2,0,8,2,38,0,8,1,2.4,8,1,4.5,8,3,0.6,8,3,105.0,8,1,11.0,8,1,16.1,8,3,,0,1
2016/2,2.5,8,1,5.7,8,1,-0.2,8,1,153.0,0,8,1,20.0,0,8,1,67.4,0,8,2,23,0,8,1,2.6,8,1,5.6,8,3,0.1,8,3,134.5,8,1,20.0,8,1,51.3,8,3,,0,1
2016/3,6.0,8,1,9.8,8,1,2.1,8,1,67.5,0,8,1,12.0,0,8,1,153.9,0,8,2,5,0,8,1,5.9,8,1,9.6,8,3,2.8,8,3,51.0,8,1,9.0,8,1,147.2,8,3,,0,1
2016/4,11.0,8,1,15.5,8,1,6.7,8,1,146.0,0,8,1,36.5,0,8,1,184.7,0,8,2,0,1,8,1,10.0,8,1,13.9,8,3,7.0,8,3,105.5,8,1,32.0,8,1,166.6,8,3,,0,1
2016/5,17.5,8,1,22.0,8,1,13.0,8,1,110.0,0,8,1,20.5,0,8,1,224.3,0,8,2,0,1,8,1,15.6,8,1,20.5,8,3,12.3,8,3,81.5,8,1,16.0,8,1,210.3,8,3,,0,1
2016/6,20.4,8,1,24.3,8,1,16.8,8,1,143.5,0,8,1,37.5,0,8,1,173.7,0,8,2,0,1,8,1,18.4,5,1,22.5,5,3,15.3,5,3,62.0,5,1,25.5,5,1,151.6,5,3,,0,1
2016/7,23.7,8,1,27.6,8,1,20.6,8,1,116.5,0,8,1,48.0,0,8,1,155.1,0,8,2,0,1,8,1,22.1,8,1,25.9,8,3,19.6,8,3,104.0,8,1,53.0,8,1,148.5,8,3,,0,1
2016/8,26.4,8,1,31.1,8,1,22.2,8,1,235.5,0,8,1,106.5,0,8,1,273.6,0,8,2,0,1,8,1,25.0,5,1,29.8,5,3,21.8,5,3,117.5,5,1,61.5,5,1,237.2,5,3,,0,1
2016/9,22.7,8,1,26.8,8,1,19.4,8,1,97.5,0,8,1,18.5,0,8,1,141.6,0,8,2,0,1,8,1,21.7,8,1,24.8,8,3,19.2,8,3,76.5,5,1,18.5,5,1,124.4,5,3,,0,1
2016/10,15.2,8,1,19.3,8,1,11.1,8,1,161.0,0,8,1,31.0,0,8,1,125.7,0,8,2,0,1,8,1,14.7,8,1,18.2,8,3,11.5,8,3,112.0,8,1,22.0,8,1,115.6,5,3,,0,1
2016/11,8.5,8,1,12.2,8,1,4.9,8,1,155.5,0,8,1,22.0,0,8,1,78.7,0,8,2,0,1,8,1,8.5,8,1,11.6,8,3,5.5,8,3,93.5,8,1,10.0,8,1,46.4,8,3,,0,1
2016/12,5.5,8,1,8.9,8,1,2.2,8,1,228.5,0,8,1,32.5,0,8,1,53.9,0,8,2,6,0,8,1,5.8,8,1,8.9,8,3,3.1,8,3,159.5,8,1,24.5,8,1,53.2,8,3,,0,1
2017/1,2.3,8,1,4.8,8,1,-0.6,8,1,196.0,0,8,1,24.5,0,8,1,47.8,0,8,2,28,0,8,1,2.5,8,1,5.0,8,3,0.1,8,3,115.0,8,1,17.0,8,1,40.6,8,3,,0,1
2017/2,2.8,8,1,5.8,8,1,0.0,8,1,156.0,0,8,1,22.0,0,8,1,52.6,0,8,2,8,0,8,1,2.8,8,1,5.6,8,3,0.1,8,3,127.0,8,1,31.5,8,1,41.3,8,3,,0,1
2017/3,5.2,8,1,8.9,8,1,1.6,8,1,85.5,0,8,1,18.0,0,8,1,135.1,0,8,2,5,0,8,1,5.0,8,1,8.6,8,3,2.0,8,3,67.5,8,1,14.0,8,1,133.8,8,3,,0,1
2017/4,10.5,8,1,15.4,8,1,6.1,8,1,100.0,0,8,1,38.5,0,8,1,166.8,0,8,2,0,1,8,1,9.6,8,1,13.6,8,3,6.5,8,3,83.0,8,1,31.5,8,1,152.2,8,3,,0,1
2017/5,16.3,8,1,20.9,8,1,11.8,8,1,96.5,0,8,1,21.0,0,8,1,229.5,0,8,2,0,1,8,1,14.9,8,1,19.2,8,3,11.8,8,3,61.5,8,1,18.5,8,1,199.6,8,3,,0,1
2017/6,18.0,8,1,21.7,8,1,14.4,8,1,93.0,0,8,1,27.5,0,8,1,162.1,0,8,2,0,1,8,1,16.3,8,1,20.2,8,3,13.3,8,3,69.0,8,1,18.0,8,1,160.1,8,3,,0,1
2017/7,24.9,8,1,28.6,8,1,21.7,8,1,274.5,0,8,1,72.0,0,8,1,189.0,0,8,2,0,1,8,1,23.3,8,1,27.2,8,3,20.9,8,3,265.5,8,1,99.0,8,1,176.6,5,3,,0,1
2017/8,25.3,8,1,29.4,8,1,21.8,8,1,184.0,0,8,1,68.5,0,8,1,190.8,0,8,2,0,1,8,1,23.9,8,1,27.7,8,3,21.1,8,3,183.5,8,1,54.5,8,1,173.0,8,3,,0,1
2017/9,20.5,8,1,25.1,8,1,16.4,8,1,154.0,0,8,1,49.0,0,8,1,169.4,0,8,2,0,1,8,1,20.1,8,1,24.0,8,3,17.1,8,3,124.0,8,1,28.5,8,1,160.2,8,3,,0,1
2017/10,15.2,8,1,18.8,8,1,11.8,8,1,177.0,0,8,1,39.0,0,8,1,82.8,0,8,2,0,1,8,1,14.9,8,1,17.7,8,3,12.4,8,3,155.0,8,1,33.5,8,1,63.3,8,3,,0,1
2017/11,8.8,8,1,12.5,8,1,5.2,8,1,215.5,0,8,1,40.5,0,8,1,82.9,0,8,2,0,1,8,1,9.3,8,1,12.5,8,3,6.4,8,3,134.5,8,1,21.5,8,1,59.9,8,3,,0,1
2017/12,3.0,8,1,5.5,8,1,0.5,8,1,298.5,0,8,1,31.5,0,8,1,19.9,0,8,2,6,0,8,1,3.6,8,1,6.3,8,3,0.9,8,3,178.5,8,1,27.0,8,1,20.7,8,3,,0,1
2018/1,1.2,8,1,4.1,8,1,-1.5,8,1,196.5,0,8,1,16.0,0,8,1,33.2,0,8,2,28,0,8,1,1.4,8,1,4.0,8,3,-0.9,8,3,92.0,8,1,13.0,8,1,24.9,8,3,,0,1
2018/2,0.7,8,1,3.9,8,1,-2.3,8,1,139.5,0,8,1,22.0,0,8,1,73.5,0,8,2,24,0,8,1,0.9,8,1,4.0,8,3,-1.3,8,3,88.0,8,1,22.0,8,1,59.7,8,3,,0,1
2018/3,6.2,8,1,10.9,8,1,1.7,8,1,102.5,0,8,1,32.5,0,8,1,143.8,0,8,2,0,1,8,1,5.7,8,1,9.5,8,3,2.5,8,3,119.0,8,1,34.5,8,1,109.3,8,3,,0,1
2018/4,11.0,8,1,15.4,8,1,7.0,8,1,145.5,0,8,1,33.0,0,8,1,144.6,0,8,2,0,1,8,1,9.7,8,1,13.6,8,3,6.8,8,3,110.5,8,1,25.5,8,1,130.9,8,3,,0,1
2018/5,15.9,8,1,20.4,8,1,12.0,8,1,211.0,0,8,1,91.0,0,8,1,157.5,0,8,2,0,1,8,1,14.2,8,1,18.3,8,3,11.4,8,3,153.5,8,1,63.5,8,1,142.5,8,3,,0,1
2018/6,20.2,8,1,24.3,8,1,16.5,8,1,84.5,0,8,1,43.5,0,8,1,176.2,0,8,2,0,1,8,1,18.3,8,1,22.2,8,3,15.4,8,3,132.5,8,1,46.5,8,1,143.4,8,3,,0,1
2018/7,26.0,8,1,30.1,8,1,22.8,8,1,80.5,0,8,1,37.0,0,8,1,207.0,0,8,2,0,1,8,1,23.9,8,1,27.7,8,3,21.5,8,3,121.5,8,1,66.5,8,1,168.7,8,3,,0,1
2018/8,25.4,8,1,29.7,8,1,21.7,8,1,553.0,0,8,1,169.5,0,8,1,180.5,0,8,2,0,1,8,1,24.1,8,1,27.8,8,3,21.3,8,3,217.5,8,1,91.0,8,1,151.2,8,3,,0,1
2018/9,21.0,8,1,25.0,8,1,17.5,8,1,205.0,0,8,1,46.5,0,8,1,136.2,0,8,2,0,1,8,1,20.4,8,1,23.5,8,3,17.9,8,3,189.5,8,1,44.5,8,1,108.9,5,3,,0,1
2018/10,16.1,8,1,20.6,8,1,12.2,8,1,260.5,0,8,1,48.5,0,8,1,139.2,0,8,2,0,1,8,1,16.1,8,1,19.5,8,3,13.3,8,3,139.0,8,1,29.5,8,1,118.3,8,3,,0,1
2018/11,13.0,4,1,17.6,4,1,8.7,4,1,39.0,0,4,1,13.5,0,4,1,37.9,0,4,2,,,1,1,,0,1,,0,3,,0,3,,0,1,,0,1,,0,3,,0,1
